Source,Destination,Anchor
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/2019-ncov-factsheet.pdf,What You Need to Know About Coronavirus 2019
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/2019-ncov-factsheet.pdf,English
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms-korean.pdf,Korean
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-arabic.pdf,Arabic
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-amharic.pdf,Amharic
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.fema.gov/de/media-library/assets/documents/176618,documents
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/2019-ncov-factsheet-chinese.pdf,Simplified Chinese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/2019-ncov-factsheet-chinese.pdf,Simplified Chinese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-burmese.pdf,Burmese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-swahili.pdf,Swahili
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.fema.gov/blog/fema-takes-action-ensure-equity-vaccine-distribution,FEMA Takes Action to Ensure Equity in Vaccine Distribution
